Name,Card Type,Card Sub-Type,Attribute,Monster Type,Class,Level,ATK,DEF,Card Text,Select Your Deck Here,Highest Playability
Dark Bat,Monster,Normal,Wind,Winged Beast,,3,1000,1000,Bats from the netherworld that use their hyper senses to detect their enemies.,Select a deck above,Junk
Dark Blade,Monster,Normal,Dark,Warrior,,4,1800,1500,"They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.",Select a deck above,Junk
Dark Blade the Dragon Knight,Monster,Fusion,Dark,Warrior,Effect,6,2200,1500,"Dark Blade + ""Pitch-Dark Dragon""
Each time this card inflicts Battle Damage to your opponent, you can select up to 3 Monster Cards from your opponent's Graveyard and remove them from play.",Select a deck above,Staple
Dark Cat with White Tail,Monster,Effect,Earth,Beast,Flip,2,800,500,FLIP: Return 2 Monster Cards on your opponent's side of the field and 1 Monster Card on your side of the field to their owners' hands.,Select a deck above,Junk
Dark Coffin,Trap,Normal,,,,,,,"When this face-down card is destroyed and sent to the Graveyard, your opponent selects and executes 1 of the following effects: 
Discard 1 random card in their hand.
Select 1 monster on their side of the field and destroy it.",Select a deck above,Junk
Dark Core,Spell,Normal,,,,,,,Discard 1 card. Remove from play 1 face-up monster.,Select a deck above,Junk
Dark Designator,Spell,Normal,,,,,,,"Declare 1 Monster Card name. If the declared card is in your opponent's Deck, add 1 of that card to your opponent's hand.",Select a deck above,Junk
Dark Driceratops,Monster,Effect,Earth,Dinosaur,,6,2400,1500,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.",Select a deck above,Junk
Dark Dust Spirit,Monster,Effect,Earth,Zombie,,6,2200,1800,"This card cannot be Special Summoned. During the End Phase of the turn that this card is Normal Summoned or flipped face-up, return it to its owner's hand. When this card is Normal Summoned or flipped face-up, destroy all other face-up monsters.",Select a deck above,Junk
Dark Elf,Monster,Effect,Dark,Spellcaster,,4,2000,800,This card requires a cost of 1000 of your own Life Points to attack.,Select a deck above,Junk
Dark Energy,Spell,Equip,,,,,,,A Fiend-Type monster equipped with this card increases its ATK and DEF by 300 points.,Select a deck above,Junk
Dark Factory of Mass Production,Spell,Normal,,,,,,,Select 2 Normal Monsters from your Graveyard and add them to your hand.,Select a deck above,Junk
Dark Flare Knight,Monster,Fusion,Dark,Warrior,Effect,6,2200,800,"Dark Magician + ""Flame Swordsman""
Any damage to this card's controller caused as a result of battle involving this monster becomes 0. When this card is destroyed and sent to the Graveyard as a result of battle, Special Summon 1 ""Mirage Knight"" from your hand or Deck.",Select a deck above,Staple
Dark Gray,Monster,Normal,Earth,Beast,,3,800,900,"Entirely gray, this beast has rarely been seen by mortal eyes.",Select a deck above,Junk
Dark Jeroid,Monster,Effect,Dark,Fiend,,4,1200,1500,When this card is Summoned: Target 1 face-up monster on the field; it loses 800 ATK.,Select a deck above,Junk
Dark King of the Abyss,Monster,Normal,Dark,Fiend,,3,1200,800,It's said that this King of the Netherworld once had the power to rule over the dark.,Select a deck above,Junk
Dark Magic Attack,Spell,Normal,,,,,,,"Activate only while you control a face-up ""Dark Magician"". Destroy all Spell and Trap Cards your opponent controls.",Select a deck above,Junk
Dark Magician,Monster,Normal,Dark,Spellcaster,,7,2500,2100,The ultimate wizard in terms of attack and defense.,Select a deck above,Junk
Dark Magician Girl,Monster,Effect,Dark,Spellcaster,,6,2000,1700,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in any Graveyard.",Select a deck above,Junk
Dark Magician Knight,Monster,Effect,Dark,Warrior,,7,2500,2100,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Knight's Title"". If this card is Special Summoned successfully, select 1 card on the field and destroy it.",Select a deck above,Junk
Dark Magician of Chaos,Monster,Effect,Dark,Spellcaster,,8,2800,2600,"When this card is Normal or Special Summoned: You can target 1 Spell Card in your Graveyard; add that target to your hand. Banish any monster destroyed by battle with this card. If this face-up card would leave the field, banish it instead.",Select a deck above,Staple
Dark Master - Zorc,Monster,Ritual,Dark,Fiend,Effect,8,2700,1500,"You can Ritual Summon this card with ""Contract with the Dark Master"". Once per turn: You can roll 1 six-sided die, then destroy all monsters your opponent controls if you roll 1 or 2, destroy 1 monster your opponent controls if you roll 3, 4 or 5, or destroy all monsters you control if you roll 6.",Select a deck above,Junk
Dark Mimic LV1,Monster,Effect,Dark,Fiend,Flip,1,100,1000,"FLIP: Draw 1 card.
During your Standby Phase: You can send this face-up card to the Graveyard; Special Summon 1 ""Dark Mimic LV3"" from your hand or Deck.",Select a deck above,Optional
Dark Mimic LV3,Monster,Effect,Dark,Fiend,,3,1000,1000,"If this card is destroyed by battle and sent to the Graveyard: Draw 1 card, but if this card was Special Summoned by the effect of ""Dark Mimic LV1"", draw 2 cards instead.",Select a deck above,Optional
Dark Mirror Force,Trap,Normal,,,,,,,You can only activate this card when your opponent's monster declares an attack. Remove all monsters in Defense Position on your opponent's side of the field from play.,Select a deck above,Junk
Dark Necrofear,Monster,Effect,Dark,Fiend,,8,2200,2800,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 3 Fiend-Type monsters in your Graveyard. If this card is destroyed by battle, or by your opponent's card effect while it is a Monster Card, equip it to a monster your opponent controls during the End Phase of this turn. Take control of the equipped monster.",Select a deck above,Junk
Dark Paladin,Monster,Fusion,Dark,Spellcaster,Effect,8,2900,2400,"""Dark Magician"" + ""Buster Blader""
This card cannot be Special Summoned except by Fusion Summon. While this card is face-up on the field, you can discard 1 card to negate the activation of a Spell Card and destroy it. This card gains 500 ATK for each Dragon-Type monster on the field and in either player's Graveyard.",Select a deck above,Junk
Dark Room of Nightmare,Spell,Continuous,,,,,,,"Each time damage, except Battle Damage, is inflicted to your opponent's Life Points, inflict 300 points of damage to your opponent's Life Points. This card's effect is not applied to the effect of ""Dark Room of Nightmare"".",Select a deck above,Optional
Dark Ruler Ha Des,Monster,Effect,Dark,Fiend,,6,2450,1600,This card cannot be Special Summoned from the Graveyard. Negate the effects of Effect Monsters destroyed by battle with Fiend-Type monsters you control.,Select a deck above,Borderline
Dark Sage,Monster,Effect,Dark,Spellcaster,,9,2800,3200,"Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand or Deck) by Tributing 1 ""Dark Magician"" immediately after applying the effect of ""Time Wizard"" in which you called the coin toss right. When Special Summoned this way: Add 1 Spell Card from your Deck to your hand.",Select a deck above,Junk
Dark Scorpion - Chick the Yellow,Monster,Effect,Dark,Warrior,,3,1000,1000,"When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:
Target 1 card on the field; return that target to the hand.
Look at the top card of their Deck, then return it to the top or bottom of the Deck.",Select a deck above,Junk
Dark Scorpion - Cliff the Trap Remover,Monster,Effect,Dark,Warrior,,3,1200,1000,"When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:
Target 1 Spell/Trap Card on the field; destroy that target.
Send the top 2 cards of their Deck to the Graveyard.",Select a deck above,Borderline
Dark Scorpion - Gorg the Strong,Monster,Effect,Dark,Warrior,,5,1800,1500,"When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:
Target 1 monster your opponent controls; return that target to the top of the Deck.
Send the top card of their Deck to the Graveyard.",Select a deck above,Junk
Dark Scorpion - Meanae the Thorn,Monster,Effect,Dark,Warrior,,4,1000,1800,"When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:
Add 1 ""Dark Scorpion"" card from your Deck to your hand.
Target 1 ""Dark Scorpion"" card in your Graveyard; add that target to your hand.",Select a deck above,Borderline
Dark Scorpion Burglars,Monster,Effect,Dark,Warrior,,4,1000,1000,When this card inflicts Battle Damage to your opponent: Your opponent sends 1 Spell Card from their Deck to the Graveyard.,Select a deck above,Junk
Dark Scorpion Combination,Trap,Normal,,,,,,,"You can only activate this card when there are Don Zaloog"", ""Cliff the Trap Remover"", ""Dark Scorpion - Chick the Yellow"", ""Dark Scorpion - Gorg the Strong"", and ""Dark Scorpion - Meanae the Thorn"" face-up on your side of the field. During this turn, any of these 5 cards can attack your opponent's Life Points directly. In that case, the Battle Damage inflicted to your opponent by each of those cards becomes 400 points.""",Select a deck above,Junk
Dark Snake Syndrome,Spell,Continuous,,,,,,,Inflict damage to both players' Life Points during each of your Standby Phases. The first damage begins at 200 points and is doubled during each of your following Standby Phases.,Select a deck above,Borderline
Dark Spirit of the Silent,Trap,Normal,,,,,,,This card can only be activated during your opponent's Battle Step. Negate the attack of 1 monster and select another 1 of your opponent's face-up monsters and have it attack. If the new targeted attacking monster is in face-up Defense Position change it to Attack Position.,Select a deck above,Junk
Dark Titan of Terror,Monster,Normal,Dark,Fiend,,4,1300,1100,"A fiend said to dwell in the world of dreams, it attacks enemies in their sleep.",Select a deck above,Junk
Dark Witch,Monster,Normal,Light,Fairy,,5,1800,1700,A popular creature in mythology that delivers fatal attacks with a sharp spear.,Select a deck above,Junk
Dark Zebra,Monster,Effect,Earth,Beast,,4,1800,400,"If this is the only card you control during your Standby Phase, it is automatically placed in Defense Position. You cannot change the position of this card during the same turn.",Select a deck above,Junk
Dark-Piercing Light,Spell,Normal,,,,,,,Flip all face-down monsters on your opponent's side of the field face-up.,Select a deck above,Junk
Darkbishop Archfiend,Monster,Effect,Water,Fiend,,3,300,1400,"The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When an Archfiend Monster Card on your side of the field is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 1, 3, or 6, negate the effect and destroy the opponent's card.",Select a deck above,Junk
Darkfire Dragon,Monster,Fusion,Dark,Dragon,Normal,4,1500,1250,"Firegrass + ""Petit Dragon""",Select a deck above,Staple
Darkfire Soldier #1,Monster,Normal,Fire,Pyro,,4,1700,1150,An explosive expert from a special elite force.,Select a deck above,Junk
Darkfire Soldier #2,Monster,Normal,Fire,Pyro,,4,1700,1100,A warrior who gained immeasurable power from the heart of a volcano.,Select a deck above,Junk
Darklord Marie,Monster,Effect,Dark,Fiend,,5,1700,1200,"Once per turn, during your Standby Phase: You gain 200 LP. This card must be in the Graveyard to activate and to resolve this effect.",Select a deck above,Junk
Darkness Approaches,Spell,Normal,,,,,,,"Discard 2 cards from your hand. Select 1 face-up monster and flip it face-down, but do not change its battle position.",Select a deck above,Junk
Darkworld Thorns,Monster,Normal,Earth,Plant,,3,1200,900,A thorny plant found in the darklands that wraps its body around any unwary travelers.,Select a deck above,Junk
De-Fusion,Spell,Quick-Play,,,,,,,"Select 1 face-up Fusion Monster on the field and return it to the Extra Deck. If all the Fusion Material Monsters that were used for the Fusion Summon of that Fusion Monster are in your Graveyard, you can Special Summon them.",Select a deck above,Junk
De-Spell,Spell,Normal,,,,,,,"Select 1 Spell Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Spell Card, it is destroyed. If it is a Trap Card, return it to its original position.",Select a deck above,Junk
Deal of Phantom,Trap,Normal,,,,,,,Select 1 monster face-up on the field. Increase the selected monster's ATK by 100 points for each monster in your Graveyard during the turn this card is activated. The number of monster is applied when this card is activated.,Select a deck above,Junk
Decayed Commander,Monster,Effect,Earth,Zombie,,4,1000,1500,"When this card is Normal Summoned successfully, you can Special Summon 1 Zombie Tiger"" from your hand. If this card successfully attacks your opponent's Life Points directly, your opponent discards 1 card randomly from his/her hand.""",Select a deck above,Junk
Deck Devastation Virus,Trap,Normal,,,,,,,"Tribute 1 DARK monster with 2000 or more ATK; check your opponent's hand, all monsters they control, and all cards they draw until the end of their 3rd turn after this card's activation, and destroy all those monsters with 1500 or less ATK.",Select a deck above,Junk
Dedication through Light and Darkness,Spell,Quick-Play,,,,,,,"You can only activate this card by Tributing 1 ""Dark Magician"" on your side of the field. Select 1 ""Dark Magician of Chaos"" from your hand, your Graveyard or your Deck and Special Summon it.",Select a deck above,Junk
Deepsea Shark,Monster,Fusion,Water,Fish,Normal,5,1900,1600,"Bottom Dweller + ""Tongyo""",Select a deck above,Junk
Deepsea Warrior,Monster,Effect,Water,Warrior,,5,1600,1800,"As long as Umi"" is face-up on the field, this card is unaffected by any Spell Cards.""",Select a deck above,Junk
Dekoichi the Battlechanted Locomotive,Monster,Effect,Dark,Machine,Flip,4,1400,1000,"FLIP: Draw 1 card. For each face-up ""Bokoichi the Freightening Car"" you control, draw an additional card.",Select a deck above,Staple
Delinquent Duo,Spell,Normal,,,,,,,Pay 1000 Life Points. Your opponent randomly selects and discards 1 card from his/her hand and then selects and discards another card from his/her hand.,Select a deck above,Staple
Delta Attacker,Spell,Normal,,,,,,,You can only activate this card while there are 3 Normal Monsters of the same name (except Tokens) on your side of the field. The 3 Normal Monsters of the same name can attack your opponent's Life Points directly during the turn this card is activated.,Select a deck above,Junk
Demotion,Spell,Equip,,,,,,,Downgrade the monster equipped with this card by 2 Levels.,Select a deck above,Junk
Des Counterblow,Trap,Continuous,,,,,,,Destroy any monster that inflicts Battle Damage to a player's Life Points by attacking directly.,Select a deck above,Junk
Des Dendle,Monster,Effect,Earth,Plant,Union,4,300,2000,"Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to your Vampire Orchis"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, each time the equipped monster destroys 1 of your opponent's monsters, Special Summon 1 ""Wicked Plant Token"" (Plant-Type/EARTH/1 Star/ATK 800/DEF 800). (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.)""",Select a deck above,Junk
Des Feral Imp,Monster,Effect,Dark,Reptile,Flip,4,1600,1800,"FLIP: Select 1 card from your Graveyard, add it to your Deck, and shuffle your Deck.",Select a deck above,Junk
Des Kangaroo,Monster,Effect,Dark,Beast,,4,1500,1700,"If the ATK of a monster that attacks this monster is lower than the DEF of this card, destroy the attacking monster. (Damage calculation is applied normally.)",Select a deck above,Junk
Des Koala,Monster,Effect,Dark,Beast,Flip,3,1100,1800,FLIP: Inflict 400 points of damage to your opponent's Life Points for each card in your opponent's hand.,Select a deck above,Optional
Des Lacooda,Monster,Effect,Earth,Zombie,,3,500,600,"Once per turn, you can flip this card into face-down Defense Position. When this card is Flip Summoned, draw 1 card.",Select a deck above,Junk
Des Wombat,Monster,Effect,Earth,Beast,,3,1600,300,"As long as this card remains face-up on the field, any damage by a card effect to the controller of this card becomes 0.",Select a deck above,Junk
Desert Sunlight,Trap,Normal,,,,,,,All monsters on your side of the field are changed to face-up Defense Position.,Select a deck above,Optional
Desertapir,Monster,Effect,Earth,Beast,Flip,3,900,300,"FLIP: Flip 1 face-up monster on the field into face-down Defense Position. You cannot select Desertapir"".""",Select a deck above,Junk
Despair from the Dark,Monster,Effect,Dark,Zombie,,8,2800,3000,When this card is sent from your hand or Deck to your Graveyard by an opponent's card effect: Special Summon this card.,Select a deck above,Junk
Desrook Archfiend,Monster,Effect,Light,Fiend,,3,1100,1800,"The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When this card is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 3, negate the effect and destroy the opponent's card. When a Terrorking Archfiend"" on your side of the field is destroyed and sent to the Graveyard, you can send this card from your hand to the Graveyard to Special Summon the ""Terrorking Archfiend"".""",Select a deck above,Junk
Destiny Board,Trap,Continuous,,,,,,,"At the end of each of your opponent's turns, place 1 ""Spirit Message"" card from your hand or your Deck face-up on the field. If it is from your Deck, then shuffle your Deck. When ""Spirit Message"" cards ""I"", ""N"", ""A"" and ""L"" are all on your side of the field in their proper order, you are declared the winner. If any of your ""Spirit Message"" cards or ""Destiny Board"" are removed from the field, all your ""Spirit Message"" cards and ""Destiny Board"" on the field are sent to the Graveyard immediately",Select a deck above,Junk
Destroyer Golem,Monster,Normal,Earth,Rock,,4,1500,1000,A golem with a massive right hand for crushing its victims.,Select a deck above,Junk
Destruction Punch,Trap,Normal,,,,,,,"When the ATK of an attacking monster on your opponent's side of the field is lower than the DEF of the attacked Defense Position monster on your side of the field, destroy the attacking monster. Damage calculation is applied normally.",Select a deck above,Junk
Destruction Ring,Trap,Normal,,,,,,,Destroy 1 face-up monster on your side of the field to inflict 1000 points of damage to both players' Life Points.,Select a deck above,Junk
Dharma Cannon,Monster,Normal,Dark,Machine,,2,900,500,A monstrous creature whose body is lined with cannons that never miss their targets.,Select a deck above,Junk
Dian Keto the Cure Master,Spell,Normal,,,,,,,Increase your Life Points by 1000 points.,Select a deck above,Junk
Dice Jar,Monster,Effect,Light,Rock,Flip,3,200,300,"FLIP: Both players roll a six-sided die once. The player with the lowest result takes damage equal to their opponent's result x 500 Life Points. However, if a winner's result is 6, the loser takes 6000 points of damage. If the results are the same, both players roll again.",Select a deck above,Junk
Dice Re-Roll,Trap,Normal,,,,,,,"Once this turn, negate 1 six-sided die roll and re-roll it.",Select a deck above,Junk
Different Dimension Capsule,Spell,Normal,,,,,,,"Select 1 card from your Deck and remove it from play face-down. During your 2nd Standby Phase after activation, destroy this card and add the removed card to your hand.",Select a deck above,Junk
Different Dimension Dragon,Monster,Effect,Light,Dragon,,5,1200,1500,This card cannot be destroyed by the effect of a Spell or Trap Card that does not target it. This card is not destroyed as a result of battle against a monster with an ATK of 1900 or less.,Select a deck above,Junk
Different Dimension Gate,Spell,Continuous,,,,,,,Target 2 monsters (1 on each side of the field); banish those targets. When this card is destroyed and sent to the Graveyard: Return those banished monsters to the field in the same battle positions they were in.,Select a deck above,Junk
Diffusion Wave-Motion,Spell,Normal,,,,,,,"Pay 1000 Life Points. Select 1 Level 7 or higher Spellcaster-Type monster on your side of the field. During this turn, only the selected monster can attack and it attacks all monsters on your opponent's side of the field once each. The effects of Effect Monsters destroyed by this attack(s) are not activated.",Select a deck above,Junk
Dimension Distortion,Spell,Normal,,,,,,,You can only activate this card if there are no cards in your Graveyard. Select 1 removed from play monster and Special Summon it on your side of the field.,Select a deck above,Junk
Dimension Fusion,Spell,Normal,,,,,,,Pay 2000 Life Points. Both players Special Summon as many of their removed from play monsters as possible.,Select a deck above,Staple
Dimension Jar,Monster,Effect,Dark,Machine,Flip,2,200,200,FLIP: Both players can remove from play up to 3 monsters from their opponent's Graveyard.,Select a deck above,Junk
Dimensionhole,Spell,Normal,,,,,,,Remove 1 monster on your side of the field from play until your next Standby Phase. The card still counts towards the 5-card Monster Zone limit.,Select a deck above,Junk
Disappear,Trap,Normal,,,,,,,Remove from play 1 card from your opponent's Graveyard.,Select a deck above,Junk
Disarmament,Trap,Normal,,,,,,,Destroy all Equip Cards on the field.,Select a deck above,Junk
Disc Fighter,Monster,Effect,Earth,Warrior,,4,1000,1000,"If this card attacks a Defense Position monster with DEF 2000 or more, destroy the monster with this card's effect without applying Damage Calculation.",Select a deck above,Junk
Disk Magician,Monster,Normal,Dark,Machine,,4,1350,1000,This monster hides in a saucer and only appears when executing an attack.,Select a deck above,Junk
Dissolverock,Monster,Normal,Earth,Rock,,3,900,1000,"A monster born in the lava pits, it generates intense heat that can melt away its enemies.",Select a deck above,Junk
Disturbance Strategy,Trap,Normal,,,,,,,Your opponent adds all cards in his/her hand to the Deck and shuffles the Deck. Your opponent then draws the same number of cards that he/she added to the Deck.,Select a deck above,Junk
Divine Dragon Ragnarok,Monster,Normal,Light,Dragon,,4,1500,1000,"A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.",Select a deck above,Junk
Divine Wrath,Trap,Counter,,,,,,,"When a monster effect is activated: Discard 1 card; negate the activation, and if you do, destroy that monster.",Select a deck above,Optional
DNA Surgery,Trap,Continuous,,,,,,,"When you activate this card, declare 1 Type of monster. As long as this card remains face-up on the field, all face-up monsters become the Type you declared.",Select a deck above,Junk
DNA Transplant,Trap,Continuous,,,,,,,"Declare 1 Attribute when you activate this card. As long as this card remains face-up on the field, the Attribute of all face-up monsters on the field becomes the one you declared.",Select a deck above,Junk
Dokurorider,Monster,Ritual,Dark,Zombie,Normal,6,1900,1850,"This monster can only be Ritual Summoned with the Ritual Magic Card, Revival of Dokurorider"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.""",Select a deck above,Junk
Dokuroyaiba,Monster,Normal,Fire,Fiend,,3,1000,400,A boomerang with brains that will pursue a target to the ends of the earth.,Select a deck above,Junk
Doma the Angel of Silence,Monster,Normal,Dark,Fairy,,5,1600,1400,This fairy rules over the end of existence.,Select a deck above,Junk
Don Turtle,Monster,Effect,Water,Reptile,,3,1100,1200,"When this card is Normal Summoned or Flip Summoned, you can Special Summon any number of Don Turtle""(s) from your hand.""",Select a deck above,Junk
Don Zaloog,Monster,Effect,Dark,Warrior,,4,1400,1500,"When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:
Discard 1 random card from their hand.
Send the top 2 cards of their Deck to the Graveyard.",Select a deck above,Optional
Dora of Fate,Trap,Normal,,,,,,,"You can only activate this card during your opponent's turn. Select 1 face-up monster on your opponent's side of the field. When you Normal Summon a monster that is 1 Level lower than the selected monster during your next turn, inflict damage to your opponent's Life Points equal to the Level of the selected monster x 500 points.",Select a deck above,Junk
Doriado's Blessing,Spell,Ritual,,,,,,,"This card is used to Ritual Summon ""Elemental Mistress Doriado"". You must also Tribute monsters whose total Levels equal 3 or more from the field or your hand.",Select a deck above,Junk
Double Attack,Spell,Normal,,,,,,,Discard 1 Monster Card from your hand to the Graveyard. Select 1 monster on your side of the field with a lower Level than the discarded monster. The selected monster can attack twice this turn.,Select a deck above,Junk
Double Coston,Monster,Effect,Dark,Zombie,,4,1700,1650,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,Select a deck above,Junk
Double Snare,Spell,Normal,,,,,,,Destroy 1 face-up card on the field that has an effect that negates Trap Cards' effects.,Select a deck above,Junk
Double Spell,Spell,Normal,,,,,,,Discard 1 Spell Card from your hand. Select 1 Spell Card from your opponent's Graveyard and use it from the Graveyard as your Spell Card.,Select a deck above,Junk
Dragged Down into the Grave,Spell,Normal,,,,,,,"You and your opponent look at each other's hands, select 1 card from each other's hands and discard them to the Graveyard, and each draw 1 card.",Select a deck above,Optional
Dragon Capture Jar,Trap,Continuous,,,,,,,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.",Select a deck above,Junk
Dragon Manipulator,Monster,Effect,Earth,Warrior,Flip,3,700,800,FLIP: Take control of 1 face-up Dragon-Type monster on your opponent's side of the field until the end of the End Phase.,Select a deck above,Junk
Dragon Piper,Monster,Effect,Fire,Pyro,Flip,3,200,1800,"FLIP: Destroy all face-up Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position.""",Select a deck above,Junk
Dragon Seeker,Monster,Effect,Dark,Fiend,,6,2000,2100,"When this card is Summoned (excluding Special Summon), destroy 1 face-up Dragon-Type monster on the field.",Select a deck above,Junk
Dragon Treasure,Spell,Equip,,,,,,,A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.,Select a deck above,Junk
Dragon Zombie,Monster,Normal,Dark,Zombie,,3,1600,0,A dragon revived by sorcery. Its breath is highly corrosive.,Select a deck above,Junk
Dragon's Gunfire,Spell,Normal,,,,,,,"You can activate this card only when you have a face-up Dragon-Type monster on your side of the field. Select and activate 1 of the following effects:
Inflict 800 points of Direct Damage to your opponent's Life Points.
Destroy 1 face-up monster with DEF of 800 or less.",Select a deck above,Junk
Dragon's Rage,Trap,Continuous,,,,,,,"When a Dragon-Type monster on your side of the field attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as battle damage to your opponent's Life Points.",Select a deck above,Junk
Dragoness the Wicked Knight,Monster,Fusion,Wind,Warrior,Normal,3,1200,900,"Armaill + ""One-Eyed Shield Dragon""",Select a deck above,Staple
Dragonic Attack,Spell,Equip,,,,,,,This card can only be used to equip Warrior-Type monsters. The equipped monster is treated as Dragon-Type and increases the ATK and DEF of the equipped monster by 500 points.,Select a deck above,Junk
Draining Shield,Trap,Normal,,,,,,,"When an opponent's monster declares an attack: Target the attacking monster; negate that attack, and if you do, gain Life Points equal to that target's ATK.",Select a deck above,Junk
Dramatic Rescue,Trap,Normal,,,,,,,"You can only activate this card when a card is activated that targets a monster on the field that includes ""Amazoness"" in this card name, or is named ""Amazon Archer"". Return the targeted monster to its owner's hand and Special Summon 1 other monster from your hand.",Select a deck above,Junk
Dream Clown,Monster,Effect,Earth,Warrior,,3,1200,900,"When this card is changed from Attack Position to Defense Position, destroy 1 monster on your opponent's side of the field.",Select a deck above,Junk
Dreamsprite,Monster,Effect,Light,Plant,,2,300,200,"When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage.",Select a deck above,Junk
Drill Bug,Monster,Effect,Earth,Insect,,2,1100,200,"When this card inflicts damage to your opponent's Life Points, you may take 1 Parasite Paracide"" card from your Deck, shuffle the Deck, and place ""Parasite Paracide"" face-down on top of the Deck.""",Select a deck above,Junk
Drillago,Monster,Effect,Dark,Machine,,4,1600,1100,"If the only cards on your opponent's side of the field are face-up monsters with ATK 1600 or more, this monster can attack your opponent's Life Points directly.",Select a deck above,Junk
Driving Snow,Trap,Normal,,,,,,,You can activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Magic or Trap Card on the field.,Select a deck above,Junk
Drooling Lizard,Monster,Normal,Earth,Reptile,,3,900,800,A blood-sucking snake in human form that attacks any living being that passes nearby.,Select a deck above,Junk
Drop Off,Trap,Normal,,,,,,,When your opponent draws for their normal draw in their Draw Phase: Your opponent discards 1 card they just drew.,Select a deck above,Optional
Dummy Golem,Monster,Effect,Earth,Rock,Flip,2,800,800,FLIP: Your opponent selects 1 monster that he/she controls. Switch control of the selected monster and this card.,Select a deck above,Junk
Dust Barrier,Spell,Continuous,,,,,,,Face-up Normal Monsters on the field are unaffected by your opponent's Spell Cards. This card is destroyed during your second Standby Phase after activation.,Select a deck above,Junk
Dust Tornado,Trap,Normal,,,,,,,"Target 1 Spell/Trap Card your opponent controls; destroy that target, then you can Set 1 Spell/Trap Card from your hand.",Select a deck above,Optional
Eagle Eye,Monster,Effect,Wind,Winged Beast,,3,1300,1200,"When this card is Normal Summoned successfully, no Trap Cards can be activated.",Select a deck above,Junk
Earth Chant,Spell,Ritual,,,,,,,This card is used to Ritual Summon any EARTH Ritual Monster. You must also Tribute monsters from the field or your hand whose total Level equal the Level of the Ritual Monster you are attempting to Ritual Summon.,Select a deck above,Junk
Earthbound Spirit,Monster,Normal,Earth,Fiend,,4,500,2000,"A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.",Select a deck above,Junk
Earthquake,Spell,Normal,,,,,,,Change all face-up monsters to Defense Position.,Select a deck above,Junk
Earthshaker,Trap,Normal,,,,,,,Select 2 Monster Card Attributes. Your opponent then selects 1 of the 2 Attributes and destroys all face-up monsters with that Attribute on the field.,Select a deck above,Junk
Eatgaboon,Trap,Normal,,,,,,,"If the ATK of a monster summoned by your opponent (excluding Special Summon) is 500 points or less, the monster is destroyed.",Select a deck above,Junk
Ectoplasmer,Spell,Continuous,,,,,,,"Once during each player's End Phase, the turn player Tributes 1 face-up monster on their side of the field and inflicts damage to the opponent equal to half of the original ATK of the Tributed monster.",Select a deck above,Junk
Ekibyo Drakmord,Spell,Equip,,,,,,,"A monster equipped with this card cannot attack. At the end of the equipped monster's controller's 2nd turn after this card is activated, destroy the equipped monster. At that time, this card is returned to the owner's hand.",Select a deck above,Junk
Electric Lizard,Monster,Effect,Earth,Thunder,,3,850,800,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.",Select a deck above,Junk
Electric Snake,Monster,Effect,Light,Thunder,,3,800,900,"When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.",Select a deck above,Borderline
